alpha,beta,w_dis,w_dir,w_reg,fold_id,heldout_group,train_anchor_label,test_labels,seed,E_distance_stress,E_direction_vr,RMSE_anchor_km,wrong_dir_count,last_raw_stress_trace
0.5,-1.0,1.0,3.1622776601683795,0.1,0,0,龜茲,鄯善|于闐,1,0.004841805567640793,0.4339622641509434,928.3409646067155,23.0,25.19050194965803
0.5,-1.0,1.0,3.1622776601683795,0.1,1,1,鄯善,龜茲|車師前,0,0.004831902757190956,0.39622641509433965,843.9685380831891,21.0,25.15091867830374
0.5,-1.0,1.0,3.1622776601683795,0.1,1,1,鄯善,龜茲|車師前,1,0.0054788824766577714,0.7169811320754716,948.7124585077414,38.0,25.317939659532406
0.5,-0.5,1.0,3.1622776601683795,0.31622776601683794,0,0,龜茲,鄯善|于闐,0,0.005184711873669961,0.5094339622641509,918.6046618958006,27.0,25.81733752778748
0.5,-0.5,1.0,3.1622776601683795,0.31622776601683794,0,0,龜茲,鄯善|于闐,1,0.0055242046202393005,0.4339622641509434,974.0205293501787,23.0,26.17545906821992
0.5,-0.5,1.0,3.1622776601683795,0.31622776601683794,1,1,鄯善,龜茲|車師前,0,0.005637676854927179,0.39622641509433965,854.3547487117949,21.0,25.512539142113326
0.5,-0.5,1.0,3.1622776601683795,0.31622776601683794,1,1,鄯善,龜茲|車師前,1,0.00643744295588052,0.7924528301886793,936.7915217129494,42.0,26.120471359703924
0.5,0.0,1.0,3.1622776601683795,1.0,0,0,龜茲,鄯善|于闐,0,0.008754654344357219,0.4528301886792453,1008.1027028322908,24.0,28.093027185745505
0.5,0.0,1.0,3.1622776601683795,1.0,0,0,龜茲,鄯善|于闐,1,0.008609688266104962,0.3584905660377358,1101.6544589952593,19.0,28.332229560621276
0.5,0.0,1.0,3.1622776601683795,1.0,1,1,鄯善,龜茲|車師前,0,0.010790419907256729,0.33962264150943394,861.0795022181635,18.0,28.554261054916555
0.5,0.0,1.0,3.1622776601683795,1.0,1,1,鄯善,龜茲|車師前,1,0.008566830716149292,0.7547169811320755,995.6078163900629,40.0,28.309988305789386
0.5,0.5,1.0,3.1622776601683795,3.1622776601683795,0,0,龜茲,鄯善|于闐,0,0.021492359895703066,0.4339622641509434,995.5314602258203,23.0,36.78208335149071
0.5,0.5,1.0,3.1622776601683795,3.1622776601683795,0,0,龜茲,鄯善|于闐,1,0.02179507791255409,0.37735849056603776,1098.5697023349883,20.0,38.25722045060902
0.5,0.5,1.0,3.1622776601683795,3.1622776601683795,1,1,鄯善,龜茲|車師前,0,0.02291531454463044,0.37735849056603776,883.9274598637685,20.0,38.05650898406975
0.5,0.5,1.0,3.1622776601683795,3.1622776601683795,1,1,鄯善,龜茲|車師前,1,0.022346164028362057,0.6981132075471698,1065.8086095190222,37.0,38.31434441857039
0.5,1.0,1.0,3.1622776601683795,10.0,0,0,龜茲,鄯善|于闐,0,0.05510638278637725,0.4339622641509434,942.5244442106896,23.0,69.36674820359615
0.5,1.0,1.0,3.1622776601683795,10.0,0,0,龜茲,鄯善|于闐,1,0.055566635956346234,0.4339622641509434,955.6269732053597,23.0,68.62052544896856
0.5,1.0,1.0,3.1622776601683795,10.0,1,1,鄯善,龜茲|車師前,0,0.05899813184528767,0.37735849056603776,880.341904108645,20.0,70.1107855527488
0.5,1.0,1.0,3.1622776601683795,10.0,1,1,鄯善,龜茲|車師前,1,0.06064925541048503,0.6981132075471698,903.2759306864709,37.0,73.46640277268828
0.5,1.5,1.0,3.1622776601683795,31.622776601683793,0,0,龜茲,鄯善|于闐,0,0.13675383661455284,0.4716981132075472,1083.6881725023547,25.0,228.96303295839834
0.5,1.5,1.0,3.1622776601683795,31.622776601683793,0,0,龜茲,鄯善|于闐,1,0.1342466436631683,0.4716981132075472,1096.4724542063914,25.0,223.08875877950987
0.5,1.5,1.0,3.1622776601683795,31.622776601683793,1,1,鄯善,龜茲|車師前,0,0.1455073129217411,0.20754716981132076,613.3667772212352,11.0,210.51239670628834
0.5,1.5,1.0,3.1622776601683795,31.622776601683793,1,1,鄯善,龜茲|車師前,1,0.14233260230547454,0.39622641509433965,982.4684686319939,21.0,211.56200626362687
0.5,2.0,1.0,3.1622776601683795,100.0,0,0,龜茲,鄯善|于闐,0,0.2800958883584549,0.5094339622641509,1216.0910944682569,27.0,1030.4016519627737
0.5,2.0,1.0,3.1622776601683795,100.0,0,0,龜茲,鄯善|于闐,1,0.2789743933863195,0.4716981132075472,1228.8992390772084,25.0,906.5556145370152
0.5,2.0,1.0,3.1622776601683795,100.0,1,1,鄯善,龜茲|車師前,0,0.28631114886995596,0.22641509433962265,600.5606574277543,12.0,692.4903706036947
0.5,2.0,1.0,3.1622776601683795,100.0,1,1,鄯善,龜茲|車師前,1,0.2892026475820865,0.20754716981132076,596.1969873701662,11.0,735.6509518847165
1.0,-1.0,1.0,10.0,0.1,0,0,龜茲,鄯善|于闐,0,0.006994475408867462,0.41509433962264153,774.0362291667182,22.0,25.38452507421878
1.0,-1.0,1.0,10.0,0.1,0,0,龜茲,鄯善|于闐,1,0.005191058103434106,0.39622641509433965,868.4761046410658,21.0,25.1849843726282
1.0,-1.0,1.0,10.0,0.1,1,1,鄯善,龜茲|車師前,0,0.005765101918997356,0.3584905660377358,804.988885192638,19.0,25.34243616536939
1.0,-1.0,1.0,10.0,0.1,1,1,鄯善,龜茲|車師前,1,0.007686307212861428,0.5471698113207547,1030.119607742093,29.0,25.8373088654018
1.0,-0.5,1.0,10.0,0.31622776601683794,0,0,龜茲,鄯善|于闐,0,0.006214383484284467,0.37735849056603776,754.3845537759263,20.0,25.88849942292007
1.0,-0.5,1.0,10.0,0.31622776601683794,0,0,龜茲,鄯善|于闐,1,0.006043847460465605,0.32075471698113206,900.6483289031261,17.0,26.233930875682837
1.0,-0.5,1.0,10.0,0.31622776601683794,1,1,鄯善,龜茲|車師前,0,0.006425122438795889,0.37735849056603776,814.1497579983835,20.0,25.923884764668898
1.0,-0.5,1.0,10.0,0.31622776601683794,1,1,鄯善,龜茲|車師前,1,0.007810101367094258,0.660377358490566,1032.7131625026605,35.0,26.192222079963223
1.0,0.0,1.0,10.0,1.0,0,0,龜茲,鄯善|于闐,0,0.008516863955736935,0.41509433962264153,785.8009114555115,22.0,27.959375146855933
1.0,0.0,1.0,10.0,1.0,0,0,龜茲,鄯善|于闐,1,0.007876329368789228,0.32075471698113206,1012.3363907544256,17.0,28.105872481988804
1.0,0.0,1.0,10.0,1.0,1,1,鄯善,龜茲|車師前,0,0.011036564577464944,0.39622641509433965,820.4293754515479,21.0,28.6999102334171
1.0,0.0,1.0,10.0,1.0,1,1,鄯善,龜茲|車師前,1,0.010257751794291529,0.6226415094339622,991.1943095977193,33.0,29.301388076588122
1.0,0.5,1.0,10.0,3.1622776601683795,0,0,龜茲,鄯善|于闐,0,0.020951653464880687,0.4339622641509434,847.3675030447794,23.0,34.48454366364776
1.0,0.5,1.0,10.0,3.1622776601683795,0,0,龜茲,鄯善|于闐,1,0.02201901637375268,0.37735849056603776,1102.324880441331,20.0,38.45340333570926
1.0,0.5,1.0,10.0,3.1622776601683795,1,1,鄯善,龜茲|車師前,0,0.02262739552834163,0.33962264150943394,860.758313574768,18.0,37.00917329543889
1.0,0.5,1.0,10.0,3.1622776601683795,1,1,鄯善,龜茲|車師前,1,0.022826602960781366,0.660377358490566,1044.498070350164,35.0,39.124568966074
1.0,1.0,1.0,10.0,10.0,0,0,龜茲,鄯善|于闐,0,0.054851804061543344,0.4339622641509434,899.3490236374281,23.0,68.03314323139334
1.0,1.0,1.0,10.0,10.0,0,0,龜茲,鄯善|于闐,1,0.055265116630296846,0.4339622641509434,961.561193356202,23.0,68.30171778722867
1.0,1.0,1.0,10.0,10.0,1,1,鄯善,龜茲|車師前,0,0.05972780089413119,0.3584905660377358,872.2814377169248,19.0,70.9682963648706
1.0,1.0,1.0,10.0,10.0,1,1,鄯善,龜茲|車師前,1,0.06059229462610084,0.660377358490566,916.1159396899291,35.0,75.14503429273488
1.0,1.5,1.0,10.0,31.622776601683793,0,0,龜茲,鄯善|于闐,0,0.13590487679092605,0.49056603773584906,1099.47087518695,26.0,228.12258917008253
1.0,1.5,1.0,10.0,31.622776601683793,0,0,龜茲,鄯善|于闐,1,0.13392073330945425,0.4716981132075472,1098.4047083675082,25.0,221.3739385148063
1.0,1.5,1.0,10.0,31.622776601683793,1,1,鄯善,龜茲|車師前,0,0.14551358243813714,0.20754716981132076,627.1274012373229,11.0,210.19686692585128
1.0,1.5,1.0,10.0,31.622776601683793,1,1,鄯善,龜茲|車師前,1,0.13958414337072636,0.39622641509433965,965.0607304639616,21.0,199.65431815239296
1.0,2.0,1.0,10.0,100.0,0,0,龜茲,鄯善|于闐,0,0.2802272867067004,0.5094339622641509,1224.9468573234046,27.0,1024.6308981975105
1.0,2.0,1.0,10.0,100.0,0,0,龜茲,鄯善|于闐,1,0.2788697152869034,0.4716981132075472,1228.5008953623476,25.0,904.7827116182334
1.0,2.0,1.0,10.0,100.0,1,1,鄯善,龜茲|車師前,0,0.28621952616936785,0.22641509433962265,593.8855351503951,12.0,691.9529495304816
1.0,2.0,1.0,10.0,100.0,1,1,鄯善,龜茲|車師前,1,0.289101705240509,0.20754716981132076,580.9366592055611,11.0,736.4683935638927
1.5,-1.0,1.0,31.622776601683793,0.1,0,0,龜茲,鄯善|于闐,0,0.006157137304445151,0.3584905660377358,568.7317476108782,19.0,25.356421383190746
