alpha,beta,w_dis,w_dir,w_reg,fold_id,heldout_group,train_anchor_label,test_labels,n_seeds,E_distance_stress_mean,E_distance_stress_std,E_direction_vr_mean,E_direction_vr_std,RMSE_anchor_mean_km,RMSE_anchor_std_km
-0.5,-1.0,1.0,0.31622776601683794,0.1,0,0,龜茲,鄯善|于闐,2,0.004767168341712211,5.076874434812011e-06,0.5094339622641509,0.0,959.8423043282228,10.715526071456225
-0.5,-1.0,1.0,0.31622776601683794,0.1,1,1,鄯善,龜茲|車師前,2,0.004741369646616925,1.936707291309847e-06,0.5471698113207547,0.16981132075471694,908.3348221937651,56.357042570479905
-0.5,-0.5,1.0,0.31622776601683794,0.31622776601683794,0,0,龜茲,鄯善|于闐,2,0.005305629544093287,6.383316896228222e-05,0.4339622641509434,0.018867924528301883,1000.4555320388057,34.223432222993665
-0.5,-0.5,1.0,0.31622776601683794,0.31622776601683794,1,1,鄯善,龜茲|車師前,2,0.005381245147993612,2.2671795514939228e-05,0.5943396226415094,0.19811320754716982,906.8020209729477,37.058976405588226
-0.5,0.0,1.0,0.31622776601683794,1.0,0,0,龜茲,鄯善|于闐,2,0.008839703436551773,1.7257209062104123e-05,0.39622641509433965,0.056603773584905676,1058.1965664221675,32.3424831030344
-0.5,0.0,1.0,0.31622776601683794,1.0,1,1,鄯善,龜茲|車師前,2,0.009043721655186365,0.00016176598561420345,0.5849056603773586,0.20754716981132076,929.394166009972,59.76455379641391
-0.5,0.5,1.0,0.31622776601683794,3.1622776601683795,0,0,龜茲,鄯善|于闐,2,0.021352448966008186,9.963618651768341e-05,0.41509433962264153,0.037735849056603765,1052.3948811366567,42.107225743846584
-0.5,0.5,1.0,0.31622776601683794,3.1622776601683795,1,1,鄯善,龜茲|車師前,2,0.02371140941958401,0.0010381896488109981,0.5377358490566038,0.160377358490566,955.7671541251486,62.474546029032126
-0.5,1.0,1.0,0.31622776601683794,10.0,0,0,龜茲,鄯善|于闐,2,0.05550967827065193,0.00010568299261063535,0.4339622641509434,0.0,962.9920558819888,7.85773507999636
-0.5,1.0,1.0,0.31622776601683794,10.0,1,1,鄯善,龜茲|車師前,2,0.06004220372475557,0.0003881910835141153,0.4811320754716981,0.12264150943396226,945.0375860723477,48.07347923575213
-0.5,1.5,1.0,0.31622776601683794,31.622776601683793,0,0,龜茲,鄯善|于闐,2,0.13528087208205825,0.0009329126008459226,0.4811320754716981,0.009433962264150941,1097.9526053543887,1.8315945462576337
-0.5,1.5,1.0,0.31622776601683794,31.622776601683793,1,1,鄯善,龜茲|車師前,2,0.14393323289393137,0.0015435220914241932,0.30188679245283023,0.09433962264150944,804.3360486843467,180.3103429776225
-0.5,2.0,1.0,0.31622776601683794,100.0,0,0,龜茲,鄯善|于闐,2,0.2793935553482455,0.00037844470889497606,0.49056603773584906,0.018867924528301883,1221.1062663629568,7.922561411307129
-0.5,2.0,1.0,0.31622776601683794,100.0,1,1,鄯善,龜茲|車師前,2,0.28769780261233124,0.0015304363595492754,0.2169811320754717,0.009433962264150941,590.463732700847,7.163573044477687
0.0,-1.0,1.0,1.0,0.1,0,0,龜茲,鄯善|于闐,2,0.004762621541074839,7.148302000995182e-06,0.4811320754716981,0.009433962264150941,956.7786333089284,1.1213596318504528
0.0,-1.0,1.0,1.0,0.1,1,1,鄯善,龜茲|車師前,2,0.004863456853357199,0.00011547923288710796,0.5849056603773586,0.169811320754717,882.3738348075249,29.404223706074845
0.0,-0.5,1.0,1.0,0.31622776601683794,0,0,龜茲,鄯善|于闐,2,0.0052839783005563384,8.116157026166184e-05,0.42452830188679247,0.009433962264150941,973.8888617565049,16.075898889689086
0.0,-0.5,1.0,1.0,0.31622776601683794,1,1,鄯善,龜茲|車師前,2,0.005512719473862639,0.00015967026068664826,0.5943396226415094,0.19811320754716982,893.1777647239181,27.46924651401889
0.0,0.0,1.0,1.0,1.0,0,0,龜茲,鄯善|于闐,2,0.008544098993027528,0.00019761304691892027,0.39622641509433965,0.056603773584905676,1061.2878838274148,35.44408820077024
0.0,0.0,1.0,1.0,1.0,1,1,鄯善,龜茲|車師前,2,0.00978271218323875,0.0003871875613758605,0.5754716981132075,0.23584905660377362,924.4163994587153,62.14012248871086
0.0,0.5,1.0,1.0,3.1622776601683795,0,0,龜茲,鄯善|于闐,2,0.02155457449810169,0.00027581626112839486,0.41509433962264153,0.037735849056603765,1055.6397342146183,33.12831394262514
0.0,0.5,1.0,1.0,3.1622776601683795,1,1,鄯善,龜茲|車師前,2,0.022517129336754912,0.00037157486757182813,0.5283018867924528,0.15094339622641506,972.6790278633534,81.05756631448884
0.0,1.0,1.0,1.0,10.0,0,0,龜茲,鄯善|于闐,2,0.05546083877688283,0.00013396249265851257,0.4339622641509434,0.0,958.965157411028,3.812061162194027
0.0,1.0,1.0,1.0,10.0,1,1,鄯善,龜茲|車師前,2,0.060320703409395604,0.0006784811755231983,0.4811320754716981,0.12264150943396226,946.0570547756398,50.81611003339094
0.0,1.5,1.0,1.0,31.622776601683793,0,0,龜茲,鄯善|于闐,2,0.13518722307033731,0.0008651247908394583,0.4811320754716981,0.009433962264150941,1097.660376097857,1.4433640660176934
0.0,1.5,1.0,1.0,31.622776601683793,1,1,鄯善,龜茲|車師前,2,0.14403315895349594,0.0015800236678734925,0.30188679245283023,0.09433962264150944,802.4854786889662,181.32384719725047
0.0,2.0,1.0,1.0,100.0,0,0,龜茲,鄯善|于闐,2,0.2794348540316538,0.0004293933596666022,0.49056603773584906,0.018867924528301883,1221.5870464804634,7.4124898057647215
0.0,2.0,1.0,1.0,100.0,1,1,鄯善,龜茲|車師前,2,0.28777718909833905,0.0014272542738830163,0.22641509433962265,0.018867924528301883,593.0573168425217,9.561322222106298
0.5,-1.0,1.0,3.1622776601683795,0.1,0,0,龜茲,鄯善|于闐,2,0.0048707878362305715,2.8982268589778336e-05,0.4811320754716981,0.047169811320754707,921.0520744753004,7.288890131415087
0.5,-1.0,1.0,3.1622776601683795,0.1,1,1,鄯善,龜茲|車師前,2,0.005155392616924364,0.0003234898597334079,0.5566037735849056,0.160377358490566,896.3404982954653,52.37196021227618
