alpha,beta,w_dis,w_dir,w_reg,spring_stiffness,directional_force,repulsion_strength,n_folds,n_seeds_per_fold,E_distance_stress_mean,E_distance_stress_std,E_direction_vr_mean,E_direction_vr_std,RMSE_anchor_mean_km,RMSE_anchor_std_km,is_pareto
0.0,1.5,1.0,1.0,31.622776601683793,1500.0,1500.0,47434.16490252569,2,2,0.13961019101191663,0.004422967941579314,0.3915094339622642,0.08962264150943394,950.0729273934115,147.58744870444536,False
0.0,2.0,1.0,1.0,100.0,1500.0,1500.0,150000.0,2,2,0.2836060215649964,0.0041711675333426235,0.3584905660377359,0.1320754716981132,907.3221816614926,314.26486481897086,False
0.5,-1.0,1.0,3.1622776601683795,0.1,1500.0,4743.416490252569,150.0,2,2,0.005013090226577468,0.00014230239034689627,0.5188679245283019,0.037735849056603765,908.6962863853828,12.355788089917553,True
0.5,-0.5,1.0,3.1622776601683795,0.31622776601683794,1500.0,4743.416490252569,474.3416490252569,2,2,0.00569600907617924,0.0003415508292246095,0.5330188679245282,0.06132075471698112,920.9428654176809,25.36973020530877,False
0.5,0.0,1.0,3.1622776601683795,1.0,1500.0,4743.416490252569,1500.0,2,2,0.00918039830846705,0.0004982270032359605,0.47641509433962265,0.07075471698113206,991.6111201089441,63.26746080483093,False
0.5,0.5,1.0,3.1622776601683795,3.1622776601683795,1500.0,4743.416490252569,4743.416490252569,2,2,0.022137229095312412,0.0004935101911838352,0.4716981132075472,0.06603773584905659,1010.9593079858998,36.09127329450445,False
0.5,1.0,1.0,3.1622776601683795,10.0,1500.0,4743.416490252569,15000.0,2,2,0.057580101499624045,0.002243592128262306,0.4858490566037736,0.05188679245283018,920.4423130527913,28.633395655233358,False
0.5,1.5,1.0,3.1622776601683795,31.622776601683793,1500.0,4743.416490252569,47434.16490252569,2,2,0.1397100988762342,0.004209858737373617,0.3867924528301887,0.08490566037735847,943.9989681404938,146.08134521387933,False
0.5,2.0,1.0,3.1622776601683795,100.0,1500.0,4743.416490252569,150000.0,2,2,0.2836460195492042,0.004110878676817031,0.35377358490566035,0.13679245283018868,910.4369945858465,312.0581721868863,False
1.0,-1.0,1.0,10.0,0.1,1500.0,15000.0,150.0,2,2,0.006409235661040088,0.0003164689048893044,0.42924528301886794,0.023584905660377353,869.4052066856287,48.14903978173675,True
1.0,-0.5,1.0,10.0,0.31622776601683794,1500.0,15000.0,474.3416490252569,2,2,0.006623363687660054,0.0004942482152850186,0.4339622641509434,0.08490566037735847,875.473950795024,47.95750945549787,False
1.0,0.0,1.0,10.0,1.0,1500.0,15000.0,1500.0,2,2,0.00942187742407066,0.0012252807618075776,0.4386792452830189,0.07075471698113206,902.4402468148011,3.3715957098326044,False
1.0,0.5,1.0,10.0,3.1622776601683795,1500.0,15000.0,4743.416490252569,2,2,0.02210616708193909,0.0006208321626224068,0.4528301886792453,0.047169811320754707,963.7371918527606,11.108999890294626,False
1.0,1.0,1.0,10.0,10.0,1500.0,15000.0,15000.0,2,2,0.05760925405301806,0.0025507937070979626,0.4716981132075472,0.037735849056603765,912.326898600121,18.128209896694045,False
1.0,1.5,1.0,10.0,31.622776601683793,1500.0,15000.0,47434.16490252569,2,2,0.13873083397731095,0.003818028927120798,0.3915094339622642,0.08962264150943394,947.5159288139356,151.4218629632934,False
1.0,2.0,1.0,10.0,100.0,1500.0,15000.0,150000.0,2,2,0.2836045583508702,0.004056057354068249,0.35377358490566035,0.13679245283018868,907.0674867604271,319.65638958244904,False
1.5,-1.0,1.0,31.622776601683793,0.1,1500.0,47434.16490252569,150.0,2,2,0.010249133381322734,0.0007083051474025513,0.3679245283018868,0.0849056603773585,675.4813043247731,40.03182288350229,True
1.5,-0.5,1.0,31.622776601683793,0.31622776601683794,1500.0,47434.16490252569,474.3416490252569,2,2,0.009205205128756513,0.0006822158513194879,0.37264150943396224,0.061320754716981146,699.2255527951894,53.10911828909764,True
1.5,0.0,1.0,31.622776601683793,1.0,1500.0,47434.16490252569,1500.0,2,2,0.012178611623622722,0.001216502308163941,0.4339622641509434,0.08490566037735847,776.6932173574294,3.0943463072123905,False
1.5,0.5,1.0,31.622776601683793,3.1622776601683795,1500.0,47434.16490252569,4743.416490252569,2,2,0.022681560535973498,0.0017507776679388607,0.46226415094339623,0.12264150943396224,840.27451055023,21.600729951745166,False
1.5,1.0,1.0,31.622776601683793,10.0,1500.0,47434.16490252569,15000.0,2,2,0.05502613522875824,0.0003189773044565379,0.36320754716981135,0.014150943396226412,862.9072130110069,4.846018887197488,False
1.5,1.5,1.0,31.622776601683793,31.622776601683793,1500.0,47434.16490252569,47434.16490252569,2,2,0.13800205404295898,0.004342615168088287,0.3867924528301887,0.08490566037735847,926.7440008590077,170.01166597941187,False
1.5,2.0,1.0,31.622776601683793,100.0,1500.0,47434.16490252569,150000.0,2,2,0.28357583799190644,0.004028315084282835,0.35377358490566035,0.13679245283018868,899.1463942719988,326.1113066298203,False
2.0,-1.0,1.0,100.0,0.1,1500.0,150000.0,150.0,2,2,0.012267901910384755,0.0037678719549997103,0.3443396226415094,0.08962264150943397,539.4836900618612,126.34215120671206,True
2.0,-0.5,1.0,100.0,0.31622776601683794,1500.0,150000.0,474.3416490252569,2,2,0.013647646836760619,0.00424412885034051,0.33962264150943394,0.06603773584905659,491.21567128355423,60.60526907678957,True
2.0,0.0,1.0,100.0,1.0,1500.0,150000.0,1500.0,2,2,0.01648395372347303,0.004281447871578598,0.28773584905660377,0.08018867924528303,428.19422172020046,52.13094872806511,True
2.0,0.5,1.0,100.0,3.1622776601683795,1500.0,150000.0,4743.416490252569,2,2,0.024369097287630103,0.002088983628368738,0.3584905660377359,0.1509433962264151,515.533830410463,121.52646522230765,False
2.0,1.0,1.0,100.0,10.0,1500.0,150000.0,15000.0,2,2,0.05849455302650929,0.002201528860323286,0.2358490566037736,0.05660377358490565,572.9323342216504,127.77284561477089,True
2.0,1.5,1.0,100.0,31.622776601683793,1500.0,150000.0,47434.16490252569,2,2,0.13962892223062304,0.0021919326724940125,0.25471698113207547,0.028301886792452824,650.2901439213504,67.15633668528898,False
2.0,2.0,1.0,100.0,100.0,1500.0,150000.0,150000.0,2,2,0.2835298931365001,0.004443172854668637,0.33018867924528306,0.1509433962264151,890.9983666308095,350.592484717847,False
